学号,时间,时段类型,小时,金额,日期
S1124,2024-03-03,超市,18.26,37.0,2024-03-03
S1083,2024-03-12,超市,15.4,2.8,2024-03-12
S1196,2024-03-26,超市,17.45,8.9,2024-03-26
S1181,2024-03-23,午餐,12.44,23.5,2024-03-23
S1285,2024-03-21,早餐,7.19,5.2,2024-03-21
S1061,2024-03-16,超市,15.13,21.2,2024-03-16
S1014,2024-03-09,晚餐,17.88,17.1,2024-03-09
S1037,2024-03-20,晚餐,17.07,17.0,2024-03-20
S1076,2024-03-01,早餐,7.72,5.4,2024-03-01
S1131,2024-03-26,午餐,12.0,14.9,2024-03-26
S1205,2024-03-27,早餐,7.84,2.8,2024-03-27
S1068,2024-03-27,晚餐,18.18,8.9,2024-03-27
S1234,2024-03-25,超市,12.88,32.8,2024-03-25
S1288,2024-03-29,早餐,6.96,9.7,2024-03-29
S1040,2024-03-27,晚餐,18.0,17.2,2024-03-27
S1075,2024-03-09,午餐,12.25,12.6,2024-03-09
S1223,2024-03-03,午餐,12.23,9.7,2024-03-03
S1139,2024-03-22,晚餐,16.81,9.4,2024-03-22
S1139,2024-03-10,午餐,12.05,13.3,2024-03-10
S1260,2024-03-21,午餐,11.69,15.8,2024-03-21
S1172,2024-03-05,午餐,13.44,23.1,2024-03-05
S1101,2024-03-07,早餐,6.91,6.6,2024-03-07
S1220,2024-03-26,晚餐,17.45,16.9,2024-03-26
S1010,2024-03-16,午餐,11.75,10.9,2024-03-16
S1218,2024-03-05,晚餐,17.91,15.7,2024-03-05
S1020,2024-03-21,早餐,7.77,8.7,2024-03-21
S1131,2024-03-18,午餐,11.46,15.6,2024-03-18
S1200,2024-03-25,午餐,12.25,20.2,2024-03-25
S1058,2024-03-22,晚餐,17.66,13.8,2024-03-22
S1137,2024-03-14,午餐,11.46,8.7,2024-03-14
S1062,2024-03-09,晚餐,18.54,10.6,2024-03-09
S1207,2024-03-27,晚餐,17.55,10.2,2024-03-27
S1030,2024-03-26,超市,15.07,18.4,2024-03-26
S1064,2024-03-14,午餐,11.09,12.4,2024-03-14
S1127,2024-03-31,早餐,7.85,4.4,2024-03-31
S1155,2024-03-13,午餐,12.25,15.3,2024-03-13
S1109,2024-03-17,超市,14.23,4.8,2024-03-17
S1249,2024-03-26,午餐,13.04,13.9,2024-03-26
S1162,2024-03-18,早餐,7.71,4.0,2024-03-18
S1253,2024-03-30,晚餐,18.89,19.9,2024-03-30
S1012,2024-03-01,晚餐,18.19,14.4,2024-03-01
S1297,2024-03-14,早餐,8.02,8.8,2024-03-14
S1097,2024-03-03,超市,14.41,0.6,2024-03-03
S1174,2024-03-15,早餐,7.29,7.7,2024-03-15
S1178,2024-03-28,早餐,7.19,4.4,2024-03-28
S1118,2024-03-25,超市,20.56,1.0,2024-03-25
S1228,2024-03-15,超市,12.79,49.3,2024-03-15
S1227,2024-03-30,晚餐,16.78,16.9,2024-03-30
S1112,2024-03-18,超市,12.72,17.3,2024-03-18
S1248,2024-03-06,午餐,11.72,8.4,2024-03-06
S1021,2024-03-13,早餐,7.25,8.0,2024-03-13
S1257,2024-03-23,晚餐,18.01,16.8,2024-03-23
S1138,2024-03-25,晚餐,17.69,13.9,2024-03-25
S1161,2024-03-15,晚餐,17.98,17.8,2024-03-15
S1174,2024-03-16,早餐,8.67,1.2,2024-03-16
S1029,2024-03-08,午餐,10.86,11.2,2024-03-08
S1285,2024-03-20,午餐,11.44,13.9,2024-03-20
S1268,2024-03-25,早餐,7.79,8.1,2024-03-25
S1291,2024-03-29,午餐,12.22,24.9,2024-03-29
S1180,2024-03-06,午餐,11.31,12.9,2024-03-06
S1178,2024-03-06,晚餐,17.03,13.6,2024-03-06
S1016,2024-03-03,晚餐,17.66,11.9,2024-03-03
S1150,2024-03-13,晚餐,17.72,11.1,2024-03-13
S1206,2024-03-07,午餐,12.03,19.9,2024-03-07
S1197,2024-03-20,早餐,7.58,7.4,2024-03-20
S1010,2024-03-06,超市,15.65,0.5,2024-03-06
S1111,2024-03-24,午餐,11.37,14.1,2024-03-24
S1058,2024-03-26,早餐,6.98,7.3,2024-03-26
S1156,2024-03-19,早餐,8.19,4.9,2024-03-19
S1233,2024-03-20,午餐,11.52,17.5,2024-03-20
S1249,2024-03-31,晚餐,18.94,14.6,2024-03-31
S1074,2024-03-13,超市,20.9,11.4,2024-03-13
S1234,2024-03-21,晚餐,17.9,21.4,2024-03-21
S1117,2024-03-30,晚餐,17.72,12.2,2024-03-30
S1007,2024-03-01,午餐,12.24,17.4,2024-03-01
S1240,2024-03-16,早餐,8.08,6.7,2024-03-16
S1142,2024-03-07,午餐,11.31,14.5,2024-03-07
S1238,2024-03-30,午餐,11.03,19.8,2024-03-30
S1088,2024-03-19,午餐,12.28,15.1,2024-03-19
S1294,2024-03-21,早餐,7.36,6.6,2024-03-21
S1070,2024-03-18,晚餐,18.94,11.3,2024-03-18
S1065,2024-03-03,午餐,10.87,16.5,2024-03-03
S1120,2024-03-16,早餐,7.69,5.0,2024-03-16
S1167,2024-03-07,晚餐,17.65,13.7,2024-03-07
S1071,2024-03-14,超市,13.64,9.1,2024-03-14
S1122,2024-03-18,晚餐,17.51,13.3,2024-03-18
S1153,2024-03-26,晚餐,18.49,19.8,2024-03-26
S1169,2024-03-04,晚餐,18.06,11.7,2024-03-04
S1013,2024-03-31,晚餐,17.49,16.3,2024-03-31
S1012,2024-03-23,早餐,7.28,3.8,2024-03-23
S1033,2024-03-12,午餐,11.43,17.1,2024-03-12
S1110,2024-03-25,晚餐,16.3,11.7,2024-03-25
S1244,2024-03-16,超市,12.72,3.0,2024-03-16
S1023,2024-03-09,早餐,6.67,8.5,2024-03-09
S1236,2024-03-23,晚餐,18.73,11.2,2024-03-23
S1236,2024-03-17,午餐,12.06,12.0,2024-03-17
S1035,2024-03-13,晚餐,17.2,14.8,2024-03-13
S1081,2024-03-02,晚餐,18.95,14.6,2024-03-02
S1215,2024-03-05,早餐,7.1,3.8,2024-03-05
S1171,2024-03-18,早餐,8.18,8.4,2024-03-18
S1258,2024-03-14,早餐,7.47,4.6,2024-03-14
S1062,2024-03-18,晚餐,18.38,11.6,2024-03-18
S1009,2024-03-22,午餐,12.34,10.5,2024-03-22
S1156,2024-03-07,晚餐,17.61,10.3,2024-03-07
S1010,2024-03-04,早餐,7.25,4.7,2024-03-04
S1032,2024-03-04,午餐,11.05,15.0,2024-03-04
S1234,2024-03-06,晚餐,18.2,12.5,2024-03-06
S1030,2024-03-21,早餐,6.77,4.9,2024-03-21
S1186,2024-03-01,晚餐,18.42,17.5,2024-03-01
S1128,2024-03-21,晚餐,18.57,17.1,2024-03-21
S1052,2024-03-29,超市,17.36,59.7,2024-03-29
S1158,2024-03-18,晚餐,17.29,14.6,2024-03-18
S1097,2024-03-19,晚餐,18.76,13.0,2024-03-19
S1006,2024-03-22,晚餐,18.06,12.8,2024-03-22
S1126,2024-03-26,超市,19.28,43.5,2024-03-26
S1242,2024-03-28,晚餐,17.71,18.1,2024-03-28
S1296,2024-03-31,午餐,12.14,13.5,2024-03-31
S1205,2024-03-20,晚餐,17.34,19.6,2024-03-20
S1022,2024-03-22,午餐,11.79,17.5,2024-03-22
S1030,2024-03-03,早餐,7.1,11.6,2024-03-03
S1165,2024-03-03,午餐,11.8,15.8,2024-03-03
S1021,2024-03-12,午餐,12.24,24.0,2024-03-12
S1035,2024-03-01,午餐,11.89,17.8,2024-03-01
S1033,2024-03-28,晚餐,18.07,16.8,2024-03-28
S1137,2024-03-23,午餐,12.08,17.4,2024-03-23
S1028,2024-03-20,午餐,10.82,24.2,2024-03-20
S1045,2024-03-17,午餐,10.9,17.4,2024-03-17
S1267,2024-03-04,晚餐,18.41,15.6,2024-03-04
S1199,2024-03-23,早餐,7.77,8.8,2024-03-23
S1240,2024-03-24,午餐,12.05,12.6,2024-03-24
S1226,2024-03-17,午餐,11.68,15.7,2024-03-17
S1169,2024-03-28,超市,10.55,7.5,2024-03-28
S1299,2024-03-13,晚餐,17.21,17.8,2024-03-13
S1297,2024-03-10,晚餐,17.48,14.4,2024-03-10
S1147,2024-03-07,午餐,12.58,15.0,2024-03-07
S1149,2024-03-12,早餐,7.11,4.0,2024-03-12
S1192,2024-03-08,早餐,7.4,10.8,2024-03-08
S1206,2024-03-10,午餐,12.05,12.6,2024-03-10
S1284,2024-03-06,早餐,7.71,6.5,2024-03-06
S1217,2024-03-04,晚餐,18.12,7.1,2024-03-04
S1270,2024-03-13,午餐,12.33,14.7,2024-03-13
S1007,2024-03-29,超市,12.16,14.4,2024-03-29
S1075,2024-03-20,晚餐,17.67,7.5,2024-03-20
S1137,2024-03-11,晚餐,18.19,15.1,2024-03-11
S1266,2024-03-04,晚餐,17.51,12.7,2024-03-04
S1008,2024-03-23,早餐,6.74,5.9,2024-03-23
S1194,2024-03-22,超市,11.9,39.8,2024-03-22
S1054,2024-03-12,午餐,12.67,11.1,2024-03-12
S1003,2024-03-07,午餐,12.1,17.0,2024-03-07
S1233,2024-03-27,晚餐,17.38,10.1,2024-03-27
S1167,2024-03-29,早餐,7.36,7.3,2024-03-29
S1140,2024-03-24,午餐,11.57,19.5,2024-03-24
S1188,2024-03-16,午餐,12.53,9.9,2024-03-16
S1014,2024-03-15,早餐,7.32,4.3,2024-03-15
S1030,2024-03-07,晚餐,17.23,14.4,2024-03-07
S1141,2024-03-09,晚餐,17.33,14.2,2024-03-09
S1297,2024-03-01,晚餐,18.22,12.3,2024-03-01
S1241,2024-03-07,晚餐,17.95,15.0,2024-03-07
S1126,2024-03-31,早餐,7.2,6.4,2024-03-31
S1286,2024-03-20,午餐,12.33,15.9,2024-03-20
S1168,2024-03-14,晚餐,18.27,15.4,2024-03-14
S1128,2024-03-31,午餐,12.2,15.7,2024-03-31
S1045,2024-03-03,午餐,12.12,13.7,2024-03-03
S1191,2024-03-11,午餐,11.75,11.0,2024-03-11
S1052,2024-03-09,早餐,7.73,4.3,2024-03-09
S1024,2024-03-11,晚餐,17.53,18.4,2024-03-11
S1157,2024-03-14,超市,10.11,4.4,2024-03-14
S1027,2024-03-28,超市,14.96,20.0,2024-03-28
S1149,2024-03-28,午餐,11.34,21.7,2024-03-28
S1011,2024-03-19,早餐,7.61,6.9,2024-03-19
S1063,2024-03-19,晚餐,18.43,14.2,2024-03-19
S1008,2024-03-06,午餐,12.12,6.9,2024-03-06
S1130,2024-03-22,午餐,12.12,16.1,2024-03-22
S1265,2024-03-04,早餐,8.0,3.9,2024-03-04
S1074,2024-03-20,超市,20.93,13.8,2024-03-20
S1157,2024-03-24,午餐,11.93,14.7,2024-03-24
S1098,2024-03-26,超市,12.54,27.8,2024-03-26
S1058,2024-03-16,早餐,6.86,6.6,2024-03-16
S1037,2024-03-15,晚餐,17.27,13.3,2024-03-15
S1295,2024-03-10,晚餐,17.96,6.8,2024-03-10
S1124,2024-03-08,早餐,6.74,5.3,2024-03-08
S1278,2024-03-30,晚餐,18.28,12.1,2024-03-30
S1096,2024-03-07,早餐,7.54,3.1,2024-03-07
S1215,2024-03-25,早餐,8.1,7.5,2024-03-25
S1253,2024-03-06,午餐,12.71,22.5,2024-03-06
S1074,2024-03-15,晚餐,18.01,6.6,2024-03-15
S1012,2024-03-21,午餐,13.39,16.5,2024-03-21
S1108,2024-03-05,午餐,11.7,14.2,2024-03-05
S1149,2024-03-15,超市,11.6,12.0,2024-03-15
S1043,2024-03-06,早餐,7.69,7.6,2024-03-06
S1073,2024-03-28,午餐,12.16,5.9,2024-03-28
S1205,2024-03-04,超市,15.59,60.8,2024-03-04
S1096,2024-03-13,早餐,6.25,9.9,2024-03-13
S1034,2024-03-14,早餐,8.37,5.4,2024-03-14
S1155,2024-03-04,晚餐,18.56,26.7,2024-03-04
S1063,2024-03-30,午餐,12.13,15.5,2024-03-30
S1229,2024-03-23,午餐,11.98,15.0,2024-03-23
S1282,2024-03-28,早餐,7.5,10.3,2024-03-28
S1262,2024-03-19,超市,13.9,6.1,2024-03-19
S1216,2024-03-23,早餐,7.11,6.7,2024-03-23
S1162,2024-03-20,超市,9.07,25.4,2024-03-20
S1210,2024-03-31,午餐,12.89,12.6,2024-03-31
S1161,2024-03-15,午餐,12.13,15.4,2024-03-15
S1116,2024-03-09,超市,10.19,22.2,2024-03-09
S1213,2024-03-28,超市,10.27,4.5,2024-03-28
S1055,2024-03-03,午餐,12.08,13.5,2024-03-03
S1048,2024-03-18,早餐,7.41,6.2,2024-03-18
S1136,2024-03-29,早餐,7.06,5.5,2024-03-29
S1015,2024-03-31,午餐,11.4,13.9,2024-03-31
S1221,2024-03-02,早餐,8.02,5.9,2024-03-02
S1137,2024-03-20,午餐,11.82,25.4,2024-03-20
S1168,2024-03-01,晚餐,18.52,20.6,2024-03-01
S1134,2024-03-04,早餐,6.54,4.9,2024-03-04
S1127,2024-03-31,超市,17.64,39.4,2024-03-31
S1089,2024-03-03,早餐,8.75,9.2,2024-03-03
S1185,2024-03-01,早餐,7.33,7.7,2024-03-01
S1070,2024-03-16,晚餐,17.69,11.3,2024-03-16
S1202,2024-03-12,早餐,7.32,4.2,2024-03-12
S1165,2024-03-12,晚餐,16.81,17.2,2024-03-12
S1261,2024-03-04,超市,18.04,46.7,2024-03-04
S1001,2024-03-04,午餐,12.49,16.3,2024-03-04
S1184,2024-03-03,早餐,8.2,6.8,2024-03-03
S1211,2024-03-16,晚餐,17.68,14.3,2024-03-16
S1180,2024-03-20,午餐,12.32,10.7,2024-03-20
S1071,2024-03-19,晚餐,17.41,13.0,2024-03-19
S1157,2024-03-13,早餐,7.37,5.5,2024-03-13
S1100,2024-03-03,午餐,11.9,14.3,2024-03-03
S1285,2024-03-25,早餐,7.18,5.6,2024-03-25
S1129,2024-03-05,超市,14.84,16.0,2024-03-05
S1047,2024-03-22,午餐,11.55,16.2,2024-03-22
S1295,2024-03-27,超市,18.69,2.2,2024-03-27
S1004,2024-03-16,午餐,12.19,16.1,2024-03-16
S1203,2024-03-12,午餐,12.49,11.5,2024-03-12
S1021,2024-03-23,午餐,12.06,16.6,2024-03-23
S1118,2024-03-16,早餐,6.75,4.8,2024-03-16
S1246,2024-03-17,午餐,12.13,14.4,2024-03-17
S1152,2024-03-26,早餐,7.2,4.1,2024-03-26
S1149,2024-03-24,午餐,11.72,19.0,2024-03-24
S1219,2024-03-04,晚餐,17.61,15.4,2024-03-04
S1075,2024-03-13,早餐,8.04,6.1,2024-03-13
S1062,2024-03-01,午餐,12.77,18.9,2024-03-01
S1004,2024-03-22,晚餐,18.54,14.9,2024-03-22
S1089,2024-03-20,晚餐,18.99,16.7,2024-03-20
S1078,2024-03-27,晚餐,17.89,12.6,2024-03-27
S1204,2024-03-28,晚餐,18.53,3.8,2024-03-28
S1167,2024-03-03,早餐,7.52,5.2,2024-03-03
S1108,2024-03-26,午餐,11.28,13.4,2024-03-26
S1094,2024-03-03,晚餐,17.95,12.5,2024-03-03
S1256,2024-03-16,早餐,6.8,5.3,2024-03-16
S1131,2024-03-20,午餐,11.93,18.9,2024-03-20
S1282,2024-03-31,午餐,11.43,15.9,2024-03-31
S1084,2024-03-06,午餐,12.3,17.6,2024-03-06
S1007,2024-03-24,晚餐,17.84,12.5,2024-03-24
S1159,2024-03-22,早餐,6.26,6.9,2024-03-22
S1256,2024-03-05,晚餐,18.16,13.1,2024-03-05
S1088,2024-03-09,晚餐,18.19,15.8,2024-03-09
S1033,2024-03-16,晚餐,17.38,13.9,2024-03-16
S1113,2024-03-13,早餐,7.49,5.2,2024-03-13
S1167,2024-03-06,早餐,8.1,6.8,2024-03-06
S1133,2024-03-22,晚餐,18.43,18.1,2024-03-22
S1297,2024-03-08,午餐,11.98,14.3,2024-03-08
S1174,2024-03-31,超市,13.06,16.6,2024-03-31
S1196,2024-03-15,早餐,7.69,1.9,2024-03-15
S1261,2024-03-27,晚餐,18.46,21.1,2024-03-27
S1136,2024-03-28,午餐,12.05,15.5,2024-03-28
S1247,2024-03-01,午餐,12.61,17.1,2024-03-01
S1186,2024-03-27,午餐,12.32,19.7,2024-03-27
S1037,2024-03-26,早餐,8.44,2.1,2024-03-26
S1049,2024-03-17,午餐,12.3,12.9,2024-03-17
S1219,2024-03-29,晚餐,17.39,17.0,2024-03-29
S1238,2024-03-07,晚餐,17.99,17.7,2024-03-07
S1047,2024-03-28,午餐,12.63,14.1,2024-03-28
S1208,2024-03-22,午餐,11.7,19.6,2024-03-22
S1198,2024-03-05,晚餐,18.76,15.2,2024-03-05
S1111,2024-03-31,午餐,12.28,20.4,2024-03-31
S1287,2024-03-15,午餐,12.69,22.1,2024-03-15
S1251,2024-03-03,午餐,11.69,14.2,2024-03-03
S1187,2024-03-14,晚餐,18.46,19.5,2024-03-14
S1010,2024-03-13,午餐,12.38,15.5,2024-03-13
S1233,2024-03-08,晚餐,19.01,14.4,2024-03-08
S1052,2024-03-02,午餐,10.98,13.3,2024-03-02
S1087,2024-03-07,午餐,11.89,17.4,2024-03-07
S1209,2024-03-27,晚餐,17.96,17.7,2024-03-27
S1112,2024-03-14,早餐,7.4,4.0,2024-03-14
S1020,2024-03-08,晚餐,18.45,15.0,2024-03-08
S1173,2024-03-27,早餐,8.52,7.4,2024-03-27
S1200,2024-03-01,午餐,13.68,16.8,2024-03-01
S1223,2024-03-18,早餐,7.86,6.5,2024-03-18
S1274,2024-03-03,早餐,7.29,4.2,2024-03-03
S1233,2024-03-23,午餐,12.02,15.7,2024-03-23
S1115,2024-03-29,午餐,11.64,27.3,2024-03-29
S1144,2024-03-27,晚餐,17.7,18.3,2024-03-27
S1023,2024-03-15,超市,13.69,12.3,2024-03-15
S1162,2024-03-02,午餐,12.63,15.6,2024-03-02
S1287,2024-03-04,午餐,12.14,11.5,2024-03-04
S1130,2024-03-31,晚餐,17.85,14.1,2024-03-31
S1071,2024-03-14,午餐,11.85,19.8,2024-03-14
S1081,2024-03-14,早餐,8.2,4.5,2024-03-14
S1263,2024-03-14,晚餐,18.34,16.9,2024-03-14
S1003,2024-03-05,早餐,7.51,7.5,2024-03-05
S1163,2024-03-24,午餐,11.27,19.9,2024-03-24
S1033,2024-03-25,早餐,7.54,8.6,2024-03-25
S1013,2024-03-14,早餐,7.09,6.9,2024-03-14
S1125,2024-03-25,午餐,12.18,15.9,2024-03-25
S1055,2024-03-09,晚餐,16.97,13.2,2024-03-09
S1075,2024-03-15,午餐,11.93,16.8,2024-03-15
S1001,2024-03-07,早餐,8.25,9.6,2024-03-07
S1250,2024-03-17,早餐,7.2,2.3,2024-03-17
S1143,2024-03-16,午餐,11.73,11.8,2024-03-16
S1119,2024-03-09,早餐,8.06,9.1,2024-03-09
S1048,2024-03-06,午餐,11.54,12.7,2024-03-06
S1258,2024-03-26,超市,16.09,26.8,2024-03-26
S1207,2024-03-01,晚餐,18.58,7.5,2024-03-01
S1282,2024-03-12,早餐,7.48,7.2,2024-03-12
S1034,2024-03-15,午餐,11.65,14.8,2024-03-15
S1003,2024-03-16,午餐,12.4,11.7,2024-03-16
S1011,2024-03-02,早餐,7.82,5.0,2024-03-02
S1206,2024-03-31,早餐,7.01,3.1,2024-03-31
S1168,2024-03-27,超市,13.4,26.0,2024-03-27
S1018,2024-03-19,晚餐,18.0,14.7,2024-03-19
S1033,2024-03-05,早餐,7.66,1.8,2024-03-05
S1014,2024-03-16,午餐,11.68,15.7,2024-03-16
S1193,2024-03-29,晚餐,17.95,14.4,2024-03-29
S1101,2024-03-15,早餐,7.05,7.0,2024-03-15
S1290,2024-03-29,午餐,11.25,18.3,2024-03-29
S1048,2024-03-04,早餐,8.39,6.9,2024-03-04
S1268,2024-03-26,晚餐,18.32,13.9,2024-03-26
S1277,2024-03-04,晚餐,17.66,21.0,2024-03-04
S1090,2024-03-22,午餐,12.45,15.1,2024-03-22
S1111,2024-03-04,早餐,8.37,3.3,2024-03-04
S1261,2024-03-30,晚餐,16.72,16.0,2024-03-30
S1081,2024-03-26,午餐,12.38,14.7,2024-03-26
S1035,2024-03-25,早餐,7.93,5.0,2024-03-25
S1040,2024-03-03,早餐,8.24,4.3,2024-03-03
S1253,2024-03-17,午餐,13.15,21.4,2024-03-17
S1298,2024-03-23,午餐,12.14,15.8,2024-03-23
S1275,2024-03-14,午餐,11.54,11.3,2024-03-14
S1241,2024-03-03,早餐,7.99,7.2,2024-03-03
S1222,2024-03-07,午餐,11.82,18.0,2024-03-07
S1241,2024-03-31,早餐,7.57,2.6,2024-03-31
S1035,2024-03-10,午餐,12.59,13.9,2024-03-10
S1054,2024-03-09,午餐,11.78,18.8,2024-03-09
S1281,2024-03-29,午餐,12.25,10.2,2024-03-29
S1006,2024-03-25,晚餐,18.51,20.8,2024-03-25
S1295,2024-03-24,超市,15.08,19.1,2024-03-24
S1230,2024-03-13,午餐,12.49,9.5,2024-03-13
S1105,2024-03-25,早餐,7.78,1.5,2024-03-25
S1138,2024-03-28,早餐,7.49,5.8,2024-03-28
S1187,2024-03-04,早餐,7.35,8.6,2024-03-04
S1147,2024-03-24,早餐,7.76,7.0,2024-03-24
S1078,2024-03-18,晚餐,17.36,14.4,2024-03-18
S1072,2024-03-17,午餐,12.33,5.2,2024-03-17
S1036,2024-03-29,早餐,7.97,5.3,2024-03-29
S1179,2024-03-18,超市,10.81,9.2,2024-03-18
S1157,2024-03-20,午餐,12.55,9.9,2024-03-20
S1112,2024-03-08,午餐,11.82,7.5,2024-03-08
S1178,2024-03-14,早餐,8.23,8.4,2024-03-14
S1056,2024-03-26,早餐,8.04,5.7,2024-03-26
S1140,2024-03-04,早餐,6.95,5.5,2024-03-04
S1282,2024-03-22,早餐,7.35,3.8,2024-03-22
S1247,2024-03-13,晚餐,18.08,20.9,2024-03-13
S1299,2024-03-19,早餐,7.66,8.2,2024-03-19
S1192,2024-03-14,早餐,8.22,6.1,2024-03-14
S1049,2024-03-21,午餐,12.37,14.4,2024-03-21
S1122,2024-03-14,午餐,12.29,21.1,2024-03-14
S1117,2024-03-13,晚餐,17.96,16.7,2024-03-13
S1139,2024-03-11,午餐,11.88,10.4,2024-03-11
S1263,2024-03-08,晚餐,17.37,9.9,2024-03-08
S1150,2024-03-12,早餐,7.76,6.5,2024-03-12
S1079,2024-03-18,晚餐,18.25,18.5,2024-03-18
S1109,2024-03-25,早餐,8.63,4.4,2024-03-25
S1243,2024-03-24,午餐,11.7,3.7,2024-03-24
S1157,2024-03-20,午餐,11.87,17.5,2024-03-20
S1028,2024-03-19,午餐,12.43,12.7,2024-03-19
S1103,2024-03-28,晚餐,17.85,21.8,2024-03-28
S1146,2024-03-10,早餐,7.87,4.2,2024-03-10
S1050,2024-03-25,午餐,12.4,16.1,2024-03-25
S1001,2024-03-20,早餐,8.17,4.5,2024-03-20
S1190,2024-03-27,早餐,7.42,7.4,2024-03-27
S1020,2024-03-18,早餐,7.92,3.2,2024-03-18
S1017,2024-03-08,晚餐,17.3,9.8,2024-03-08
S1269,2024-03-30,晚餐,18.42,10.7,2024-03-30
S1206,2024-03-07,晚餐,18.08,11.6,2024-03-07
S1112,2024-03-01,午餐,11.74,16.1,2024-03-01
S1037,2024-03-28,早餐,6.54,9.3,2024-03-28
S1140,2024-03-07,晚餐,18.2,11.3,2024-03-07
S1162,2024-03-22,晚餐,16.98,18.0,2024-03-22
S1102,2024-03-28,晚餐,18.56,16.7,2024-03-28
S1211,2024-03-24,早餐,7.86,5.3,2024-03-24
S1157,2024-03-30,晚餐,18.46,8.3,2024-03-30
S1142,2024-03-08,早餐,7.62,4.8,2024-03-08
S1091,2024-03-30,午餐,12.0,19.4,2024-03-30
S1136,2024-03-26,早餐,7.96,2.7,2024-03-26
S1084,2024-03-08,晚餐,18.01,9.7,2024-03-08
S1176,2024-03-06,晚餐,18.01,15.2,2024-03-06
S1226,2024-03-29,超市,13.5,11.4,2024-03-29
S1234,2024-03-25,午餐,13.15,11.2,2024-03-25
S1212,2024-03-06,午餐,12.48,14.8,2024-03-06
S1154,2024-03-09,早餐,7.47,6.1,2024-03-09
S1170,2024-03-20,午餐,11.45,23.1,2024-03-20
S1139,2024-03-20,早餐,7.09,3.2,2024-03-20
S1149,2024-03-15,早餐,6.95,7.7,2024-03-15
S1251,2024-03-14,早餐,6.95,3.0,2024-03-14
S1153,2024-03-29,午餐,11.52,13.6,2024-03-29
S1235,2024-03-12,午餐,12.73,23.2,2024-03-12
S1020,2024-03-15,晚餐,18.78,14.2,2024-03-15
S1209,2024-03-19,早餐,6.71,10.1,2024-03-19
S1076,2024-03-05,早餐,8.17,7.6,2024-03-05
S1261,2024-03-04,午餐,12.42,14.4,2024-03-04
S1121,2024-03-05,早餐,6.77,3.0,2024-03-05
S1125,2024-03-30,晚餐,18.7,2.1,2024-03-30
S1248,2024-03-17,晚餐,17.57,14.8,2024-03-17
S1075,2024-03-24,超市,11.9,8.1,2024-03-24
S1153,2024-03-15,晚餐,18.01,11.9,2024-03-15
S1278,2024-03-02,早餐,7.56,4.7,2024-03-02
S1282,2024-03-19,午餐,11.26,9.8,2024-03-19
S1102,2024-03-15,晚餐,16.84,16.2,2024-03-15
S1267,2024-03-26,早餐,7.62,6.8,2024-03-26
S1209,2024-03-22,早餐,7.12,3.3,2024-03-22
S1281,2024-03-04,晚餐,17.59,15.7,2024-03-04
S1126,2024-03-14,早餐,7.34,5.0,2024-03-14
S1097,2024-03-19,早餐,8.36,7.4,2024-03-19
S1183,2024-03-28,早餐,7.23,10.0,2024-03-28
S1023,2024-03-23,午餐,12.25,18.3,2024-03-23
S1170,2024-03-09,早餐,8.52,5.8,2024-03-09
S1275,2024-03-27,午餐,11.93,13.1,2024-03-27
S1050,2024-03-08,早餐,7.38,7.8,2024-03-08
S1163,2024-03-25,晚餐,17.89,11.2,2024-03-25
S1096,2024-03-06,晚餐,18.96,13.8,2024-03-06
S1140,2024-03-17,超市,16.0,12.6,2024-03-17
S1124,2024-03-09,晚餐,18.12,19.5,2024-03-09
S1232,2024-03-07,早餐,7.46,6.6,2024-03-07
S1171,2024-03-07,早餐,7.19,6.7,2024-03-07
S1191,2024-03-27,超市,17.12,47.9,2024-03-27
S1020,2024-03-14,超市,17.58,8.8,2024-03-14
S1153,2024-03-21,早餐,7.15,8.2,2024-03-21
S1071,2024-03-04,晚餐,19.04,17.4,2024-03-04
S1212,2024-03-07,晚餐,17.85,10.6,2024-03-07
S1004,2024-03-31,晚餐,17.24,15.1,2024-03-31
S1081,2024-03-31,早餐,7.2,8.0,2024-03-31
S1291,2024-03-23,午餐,12.3,9.5,2024-03-23
S1103,2024-03-17,超市,14.01,23.2,2024-03-17
S1040,2024-03-29,早餐,7.36,7.2,2024-03-29
S1224,2024-03-06,早餐,6.96,5.4,2024-03-06
S1124,2024-03-24,午餐,11.72,14.8,2024-03-24
S1055,2024-03-11,晚餐,16.66,17.8,2024-03-11
S1013,2024-03-29,早餐,8.17,3.1,2024-03-29
S1228,2024-03-09,午餐,11.93,21.1,2024-03-09
S1056,2024-03-08,午餐,12.0,16.8,2024-03-08
S1206,2024-03-21,晚餐,17.53,9.8,2024-03-21
S1078,2024-03-11,晚餐,17.99,2.6,2024-03-11
S1079,2024-03-05,午餐,12.27,13.7,2024-03-05
S1202,2024-03-06,早餐,7.34,5.1,2024-03-06
S1109,2024-03-12,午餐,12.02,15.3,2024-03-12
S1234,2024-03-14,早餐,7.78,4.1,2024-03-14
S1059,2024-03-30,晚餐,17.68,13.5,2024-03-30
S1165,2024-03-17,早餐,6.7,7.8,2024-03-17
S1047,2024-03-29,午餐,12.1,9.1,2024-03-29
S1193,2024-03-10,早餐,7.04,3.0,2024-03-10
S1110,2024-03-16,早餐,7.73,3.9,2024-03-16
S1151,2024-03-31,晚餐,18.39,10.0,2024-03-31
S1142,2024-03-13,超市,17.96,14.8,2024-03-13
S1284,2024-03-15,超市,14.83,45.0,2024-03-15
